"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
ЛСВ ТРЕЙД;"Торговый дом ""ПЕРЕКРЕСТОК";37;35;37;37;0.9459;1.0000;1.0000
ОНЕГО АЛКО;Лента;6;0;6;6;0.0000;1.0000;1.0000
Омский Майонезный Завод;Компания Холидей;2;0;0;2;0.0000;0.0000;1.0000
Ознобихина Людмила Ивановна;"Торговый дом ""ПЕРЕКРЕСТОК";10;10;0;10;1.0000;0.0000;1.0000
Океан;Фреш Маркет;2;0;0;2;0.0000;0.0000;1.0000
ОКЕАНСОЮЗ;"Торговый дом ""ПЕРЕКРЕСТОК";1;0;1;1;0.0000;1.0000;1.0000
Омаров Магомед Султанович;ТАНДЕР;2;2;2;2;1.0000;1.0000;1.0000
Олкеа;"Торговый дом ""ПЕРЕКРЕСТОК";4;4;4;4;1.0000;1.0000;1.0000
Олкеа;КОРУС Консалтинг СНГ;3;3;3;3;1.0000;1.0000;1.0000
Окская Птицефабрика;Лента;20;19;20;20;0.9500;1.0000;1.0000
Окская Птицефабрика;Розничная сеть Зельгрос;43;43;43;43;1.0000;1.0000;1.0000
Окская Птицефабрика;СКБ Контур;16;0;16;16;0.0000;1.0000;1.0000
Окская Птицефабрика;Т и К Продукты;11;11;11;11;1.0000;1.0000;1.0000
Яковлев Дмитрий Михайлович;Кораблик-Р;18;0;18;18;0.0000;1.0000;1.0000
Юрьев - Польский мясокомбинат;Лента;34;0;34;34;0.0000;1.0000;1.0000
Юрченко Ольга Федоровна;Лента;9;9;9;9;1.0000;1.0000;1.0000
Юпласт-Черноземье;ТАНДЕР;8;6;8;8;0.7500;1.0000;1.0000
Юпласт-Черноземье;ПродМир;7;7;7;7;1.0000;1.0000;1.0000
Юнитполимер;Лента;11;0;11;11;0.0000;1.0000;1.0000
Юнитполимер;КОРУС Консалтинг СНГ;11;0;11;11;0.0000;1.0000;1.0000
ЮНИОН ИМПОРТ;"Торговый дом ""ПЕРЕКРЕСТОК";12;0;0;12;0.0000;0.0000;1.0000
Юникам;ОПТОВИК;4;0;0;4;0.0000;0.0000;1.0000
ЮНАЙТЕД ДИСТРИБЮШН;"Торговый дом ""ПЕРЕКРЕСТОК";8;0;0;8;0.0000;0.0000;1.0000
ЮНАЙТЕД ДИСТРИБЮШН;СКБ Контур;2;0;2;2;0.0000;1.0000;1.0000
eXite-Russia;Спектр Групп;8;0;6;8;0.0000;0.7500;1.0000
ЮНАЙТЕД ДИСТРИБЮШН;Розничная сеть Зельгрос;23;22;23;23;0.9565;1.0000;1.0000
ЮНАЙТЕД ДИСТРИБЮШН;ПродМир;4;4;4;4;1.0000;1.0000;1.0000
ЮМИС;ОПТОВИК;4;4;3;4;1.0000;0.7500;1.0000
ЮЗБЕРГ;ТАНДЕР;22;22;22;22;1.0000;1.0000;1.0000
ЮЖНЫЙ ПОЛЮС;Солнечный круг;40;40;40;40;1.0000;1.0000;1.0000
LeraData;КОРУС Консалтинг СНГ;5;0;5;5;0.0000;1.0000;1.0000
Юбилейное;ТАНДЕР;34;34;34;34;1.0000;1.0000;1.0000
LeraData;Смарт Велью Ритейл;1;0;1;1;0.0000;1.0000;1.0000
Эхо;"Торговый дом ""ПЕРЕКРЕСТОК";26;26;26;26;1.0000;1.0000;1.0000
Эста Фуд Трейд;Т и К Продукты;8;8;8;8;1.0000;1.0000;1.0000
Эссен-Агро;ЭССЕН Логистик;19;19;19;19;1.0000;1.0000;1.0000
Эссен-Агро;Табыш;16;16;16;16;1.0000;1.0000;1.0000
ЭСКОРТ СЕРВИС;Т и К Продукты;6;0;4;6;0.0000;0.6667;1.0000
А-сантехника;Розничная сеть Зельгрос;10;0;10;10;0.0000;1.0000;1.0000
ЭРКОНПРОДУКТ;Т и К Продукты;2;0;2;2;0.0000;1.0000;1.0000
А-сантехника;"Торговый дом ""ПЕРЕКРЕСТОК";2;2;2;2;1.0000;1.0000;1.0000
ЭРКОНПРОДУКТ;Лента;16;0;16;16;0.0000;1.0000;1.0000
А.ЮНА;ТАНДЕР;30;30;30;30;1.0000;1.0000;1.0000
ЭРКОНПРОДУКТ;Компания Холидей;4;0;0;4;0.0000;0.0000;1.0000
Абрамова Елена Николаевна;Лента;33;26;33;33;0.7879;1.0000;1.0000
ЭРКОНПРОДУКТ;Башбакалея;2;2;2;2;1.0000;1.0000;1.0000
ЭРА-98;КОРУС Консалтинг СНГ;33;0;33;33;0.0000;1.0000;1.0000
Авангард;Ритейл-Центр;1;0;1;1;0.0000;1.0000;1.0000
Авангард групп;СКБ Контур;1;0;0;1;0.0000;0.0000;1.0000
Авангард групп;"Торговый дом ""ПЕРЕКРЕСТОК";1;0;0;1;0.0000;0.0000;1.0000
ЭНТЭК;ЭССЕН Логистик;2;0;0;2;0.0000;0.0000;1.0000
Энерго ЭМС;ТАНДЕР;1;1;1;1;1.0000;1.0000;1.0000
ЭмДжиЭл;"Торговый дом ""ПЕРЕКРЕСТОК";8;8;8;8;1.0000;1.0000;1.0000
ЭмДжиЭл;СКБ Контур;7;0;7;7;0.0000;1.0000;1.0000
ЭЛЬБЕКО;Компания Холидей;4;4;0;4;1.0000;0.0000;1.0000
ЭЛЛАТИКА;"Торговый дом ""ПЕРЕКРЕСТОК";7;0;6;7;0.0000;0.8571;1.0000
Элита-Минерал групп;Лента;5;0;5;5;0.0000;1.0000;1.0000
АВИЛОН;"Торговый дом ""ПЕРЕКРЕСТОК";6;6;6;6;1.0000;1.0000;1.0000
Автонов Павел Владимирович;Солнечный круг;105;105;105;105;1.0000;1.0000;1.0000
Агла;Торговый Дом «Камилла;3;3;2;3;1.0000;0.6667;1.0000
Агро Партнер;СПАР МИДДЛ ВОЛГА;14;0;14;14;0.0000;1.0000;1.0000
АГРО-Импекс;ТАНДЕР;4;2;2;4;0.5000;0.5000;1.0000
Агро-Приволжье;Лента;27;0;27;27;0.0000;1.0000;1.0000
ЭЛИДА Групп;Барс-Ритейл;1;0;0;1;0.0000;0.0000;1.0000
Агро-фрут;ТАНДЕР;97;0;0;97;0.0000;0.0000;1.0000
АГРОБИЗНЕС;ДИКСИ ЮГ;7;7;7;7;1.0000;1.0000;1.0000
