"v_unit_id";"name";"full_name";"okei";"iso";"factor";"guid";"common_unit_guid"
1;бочка;бочка;;ZBC;1;;
2;голова;голова;;ZHD;1;;
3;грамм;грамм;"163";GRM;1000;;
4;доза;доза;"639";ZDZ;1;;
5;канистра;канистра;;;1;;
6;кг;кг;"166";KGM;1;;
7;коробка;коробка;;;1;;
8;литр;литр;"112";LTR;1000;;
9;мг;миллиграмм;"161";MGM;1;;
10;метр;метр;"006";MTR;1;;
11;мешок;мешки;;ZMS;1;;
12;мл;миллилитр;"111";MLT;1;;
13;млн. доз;млн. доз;;;1000000;;
14;млн. шт.;млн. шт.;"799";MIO;1000000;;
15;проба;проба;;;1;;
16;пучок;пучок;;ZPC;1;;
17;семья;семья;"896";;1;;
18;тонна;тонна;"168";TNE;1000;;
19;тыс. доз;тыс. доз;;ZTD;1000;;
20;тыс. м;тыс. м;;ZTM;1000;;
21;тыс. шт.;тыс. шт.;"798";MIL;1000;;
22;упаковка;упаковка;"778";NMP;1;;
23;флакон;флакон;"872";ZFL;1;;
24;шт.;шт.;"796";PCE;1;;
25;экз.;экз.;;;1;;
